Create Date,Primary Reference,Status,Weight,Target Ship (Early),Target Ship (Late),Target Delivery (Early),Target Delivery (Late),Origin Code,Origin Name,Origin City,Origin State,Origin Zip,Origin Ctry,Dest Code,Dest City,Dest Name,Dest State,Dest Zip,Dest Ctry,JDE Sales Order Number,JDE Sales Order Type,Brokered SCAC,Cube,Completed Activity Date
3/15/2022 11:00,343611 (BOL),Booked,42240,3/31/2022 0:01,3/31/2022 23:59,3/31/2022 0:01,3/31/2022 23:59,245579,US WH4,PLANT CITY,FL,33563,US,185825,JACKSONVILLE,A409,FL,32254,US,60840188,SO,,20,3/15/2022
3/15/2022 11:01,343613 (BOL),Booked,42240,3/30/2022 0:01,3/30/2022 23:59,3/30/2022 0:01,3/30/2022 23:59,245579,US WH4,PLANT CITY,FL,33563,US,185825,JACKSONVILLE,A409,FL,32254,US,60840190,SO,,20,3/15/2022
3/15/2022 11:07,343617 (BOL),Booked,42005,3/16/2022 0:01,3/16/2022 23:59,3/17/2022 0:01,3/17/2022 23:59,245570,US WH7,ELIZABETH,NJ,7201,US,185340,CONKLIN,A605,NY,13748,US,60840205,SO,,21,3/15/2022
3/4/2022 7:52,339390 (BOL),Tendered,39723,3/15/2022 0:01,3/15/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245525,CA WH20,BEACH POINT,PE,C0A 1V0,CA,245590,CALGARY,CA WH11,AB,T2C 4N4,CA,30369129,ST,,18,3/15/2022
3/15/2022 11:16,343619 (BOL),Tendered,43520,3/20/2022 0:01,3/20/2022 23:59,3/23/2022 0:01,3/23/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185550,RICHMOND,A777,VA,23228,US,60839883,SI,,20,3/15/2022
3/15/2022 11:32,343628 (BOL),Booked,41860,3/20/2022 0:01,3/20/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185508,SEABROOK,A1148,NH,3874,US,60840221,SI,,20,3/15/2022
3/15/2022 12:10,343644 (BOL),Booked,43567,3/27/2022 0:01,3/27/2022 23:59,3/29/2022 0:01,3/29/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185183,ELIZABETH,A766,NJ,7207,US,60840229,SI,,20,3/15/2022
3/15/2022 12:19,343647 (BOL),Booked,40253,3/19/2022 0:01,3/19/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,186845,QUEBEC,A1012,QC,G1P 4B7,CA,30371606,SO,,24,3/15/2022
3/15/2022 12:43,343654 (BOL),Booked,46826,3/19/2022 0:01,3/19/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185117,LEVIS,A67,QC,G6V 9J4,CA,30371391,SO,,21,3/15/2022
3/9/2022 9:52,341368 (BOL),Booked,48212,3/15/2022 0:01,3/15/2022 23:59,3/16/2022 0:01,3/16/2022 23:59,351314,CA WH21,BOIS-GAGNON,NB,E8M 1A3,CA,245635,DARTMOUTH,CA WH5,NS,B3B 0H4,CA,30369754,ST,,23,3/9/2022
